#633-NPs water	
# Wavelength (nm)	%R
2500	43.40782166
2499	42.93626404
2498	43.81281281
2497	42.80770874
2496	43.19471741
2495	43.45468903
2494	43.17881775
2493	43.07309341
2492	42.75613022
2491	43.39524078
2490	42.67294693
2489	43.31541443
2488	43.78447342
2487	44.02862167
2486	43.82490921
2485	43.01127243
2484	43.12775421
2483	43.7277298
2482	43.75892639
2481	43.11037827
2480	44.19723511
2479	43.33882904
2478	43.92744827
2477	42.80948639
2476	43.33358002
2475	43.32249451
2474	43.67895889
2473	43.36091232
2472	43.82473373
2471	42.96528625
2470	43.49563599
2469	42.9992218
2468	43.00019836
2467	43.510746
2466	43.16281509
2465	43.62690353
2464	43.52783966
2463	43.44475174
2462	42.96921539
2461	43.47356415
2460	43.08234024
2459	43.58830261
2458	43.67873764
2457	43.48306656
2456	43.17052841
2455	43.23741913
2454	43.55401611
2453	43.54252243
2452	43.98571396
2451	43.37194443
2450	43.82810593
2449	43.70574188
2448	43.74953461
2447	43.85128021
2446	43.57627106
2445	43.51600266
2444	43.60839462
2443	43.80307388
2442	43.89177704
2441	43.8652916
2440	43.55437088
2439	43.95117188
2438	44.11883545
2437	43.79497528
2436	44.11843872
2435	43.88309097
2434	43.41628265
2433	43.98917007
2432	43.95540237
2431	43.80776596
2430	43.72406769
2429	44.03532791
2428	43.82364655
2427	43.942379
2426	43.97664261
2425	43.45573425
2424	44.35089111
2423	43.46754456
2422	43.65132904
2421	43.83862305
2420	44.1161499
2419	43.85119247
2418	43.78817749
2417	43.97486877
2416	43.71981812
2415	44.27339554
2414	44.11223984
2413	44.01618958
2412	44.18540192
2411	43.79339218
2410	44.27453232
2409	43.91178131
2408	44.11716843
2407	43.76461411
2406	44.08822632
2405	43.75248718
2404	43.99783325
2403	43.82492447
2402	43.66568756
2401	43.99300385
2400	43.97544861
2399	43.63379669
2398	43.98905182
2397	43.8688736
2396	43.83099747
2395	43.90852356
2394	43.64808655
2393	43.98968506
2392	43.84890366
2391	43.93241882
2390	43.7518692
2389	43.66761017
2388	43.74479294
2387	43.90262222
2386	43.74678802
2385	44.06269455
2384	43.92674637
2383	43.56561279
2382	43.8676796
2381	43.96881866
2380	43.71545792
2379	43.68170929
2378	44.16143036
2377	43.94968033
2376	43.74917984
2375	43.66411591
2374	43.75592041
2373	43.75938416
2372	43.85467148
2371	43.71714783
2370	43.56468201
2369	43.71544647
2368	43.83380508
2367	43.69352341
2366	43.59924698
2365	43.82217407
2364	43.68429184
2363	43.80044556
2362	43.58005905
2361	43.72274017
2360	43.7752037
2359	43.81362534
2358	43.79593277
2357	43.59941101
2356	43.92429733
2355	43.99417114
2354	43.5821228
2353	43.89613724
2352	44.27113724
2351	43.77602768
2350	43.5706749
2349	43.84467316
2348	43.67990494
2347	43.82869339
2346	44.05483627
2345	43.97726822
2344	43.85541534
2343	43.63583755
2342	44.05823517
2341	43.7044487
2340	43.54197693
2339	43.61249924
2338	43.51428604
2337	43.58542633
2336	43.9024086
2335	43.90395737
2334	43.77084351
2333	43.63857651
2332	43.60201645
2331	43.94878769
2330	43.50658798
2329	43.43623734
2328	43.72330093
2327	43.65946579
2326	43.66354752
2325	43.73833084
2324	43.85366821
2323	43.58187103
2322	43.92428589
2321	43.62656403
2320	43.39532089
2319	43.47521973
2318	43.56774139
2317	43.92499542
2316	43.79749298
2315	43.84364319
2314	43.76483536
2313	43.79058838
2312	43.56226349
2311	43.93190002
2310	43.73271942
2309	43.68729401
2308	43.63623047
2307	43.66202545
2306	43.62960052
